n_raters,mean_ci_width,sd_ci_width,median_ci_width,true_kappa
5,0.1733719394654315,0.013895653222069053,0.17274948743971522,0.4
10,0.12163119996037863,0.012320442162823913,0.12075294716946872,0.4
15,0.10211543702273906,0.012593949912516058,0.1006868152474884,0.4
20,0.09161875026507951,0.013673235194643555,0.08905366636211126,0.4
25,0.08279205530365277,0.013801122836139056,0.08000750494319075,0.4
30,0.07798084521373348,0.01375100616063931,0.07500561169669062,0.4
35,0.07515765058805587,0.015949464933441064,0.07104613433786403,0.4
40,0.07134170283588173,0.014956061540353258,0.06778027330664585,0.4
45,0.06874014886102356,0.01486400447887763,0.06562116834626114,0.4
50,0.06679578735168443,0.01571405558615222,0.06246044646986354,0.4
5,0.17537281106493094,0.014262814701749123,0.17401472607360027,0.5
10,0.1255277390501771,0.014038309898415773,0.1233483556795251,0.5
15,0.10459542816660118,0.014266455808448894,0.10211211657946531,0.5
20,0.09298211618506505,0.014225633936103316,0.090061669555177,0.5
25,0.0862288674495687,0.015511561504895605,0.08291258602082582,0.5
30,0.08037070492247872,0.014568538676661478,0.0771992651209126,0.5
35,0.07667152900072297,0.016066964330429593,0.07293553075988368,0.5
40,0.07259821152489164,0.015777677565482755,0.06861889924848844,0.5
45,0.07018620071355097,0.015996411056281648,0.0664678362870759,0.5
50,0.0689584816302276,0.01762548223875911,0.06406812557597708,0.5
5,0.17207256933125523,0.014719897709527686,0.16955889152237819,0.6
10,0.12335706142571791,0.01570491944870595,0.12089581424872259,0.6
15,0.103615604709113,0.01571338530109406,0.10036255999090649,0.6
20,0.09347445791970319,0.017034970900337704,0.0894016048833246,0.6
25,0.08484500436585242,0.01614427795392033,0.0815276764458766,0.6
30,0.07889798963417051,0.016278568861895416,0.07489412274679125,0.6
35,0.07558380907259087,0.017075271244971692,0.07152889494152403,0.6
40,0.07226386539903834,0.01730394480130588,0.06790074567323934,0.6
45,0.06930279186330096,0.017448422303560914,0.064237015906978,0.6
50,0.06740095845385641,0.017415239227140725,0.06252107935759788,0.6
5,0.16199319632429746,0.01621834644353889,0.15981699445826852,0.7
10,0.11612074915775275,0.013817140778549874,0.11419725715559242,0.7
15,0.09722712630649663,0.014473997603576289,0.09452389181706439,0.7
20,0.08851879459527282,0.016329253531298753,0.08475524268427304,0.7
25,0.07979155413678135,0.015691896592812626,0.07648389856419902,0.7
30,0.07441044952688439,0.01501504996186066,0.0707784011682005,0.7
35,0.07092251787565376,0.017306514651350347,0.06659244019923422,0.7
40,0.06829217710566322,0.01722968739555521,0.06367306928792266,0.7
45,0.06544147898327511,0.01742485608921962,0.06062555546194137,0.7
50,0.0627263689711549,0.01641169421820112,0.05819117100868293,0.7
