n_raters,mean_ci_width,sd_ci_width,median_ci_width,true_kappa
5,0.15198395292880082,0.011535895140963592,0.15198367282391187,0.4
10,0.1064715207521771,0.010018680178379093,0.10560471351489922,0.4
15,0.08782467111576411,0.009289246991707594,0.08687038318469509,0.4
20,0.0774781731957847,0.008882250705447757,0.07652858379074198,0.4
25,0.07099548056169248,0.009184029825162103,0.0693542750441487,0.4
30,0.06573143277942066,0.00992312589564254,0.06433388149559627,0.4
35,0.06184517770076747,0.009081781058497754,0.06010061135769229,0.4
40,0.05920171171812062,0.009428735727610412,0.057300830302371486,0.4
45,0.056530131851683436,0.009264661645936383,0.054894969783032266,0.4
50,0.054281913078896675,0.009287524209753366,0.052499060671952424,0.4
5,0.15461540712597388,0.011367749547271998,0.15402741553747445,0.5
10,0.10961233451293587,0.010517550822791846,0.10867397452315936,0.5
15,0.09065201075622452,0.009823194564910763,0.0891304648791279,0.5
20,0.0802889125607048,0.009845392499278358,0.07876862253448433,0.5
25,0.07347684913058368,0.010412096684730258,0.07165859804797645,0.5
30,0.06842685789662016,0.010472845177472595,0.06641993418451397,0.5
35,0.06410903162564913,0.010404165729213691,0.062114180521213175,0.5
40,0.061131204428743924,0.010285461952291434,0.05895657210243241,0.5
45,0.058919513160324434,0.010561838222027775,0.056606659141213767,0.5
50,0.05661747411388653,0.010795166307781068,0.05412390177078444,0.5
5,0.1515582674390506,0.010829333094256743,0.1506777133271766,0.6
10,0.10812933637944809,0.01116860949506142,0.10670637204056754,0.6
15,0.08948924432939198,0.009449116485149497,0.08828621156224059,0.6
20,0.07966059928039841,0.010583752195691569,0.07790050716266017,0.6
25,0.07255267308366616,0.01062929412732898,0.07065577293326608,0.6
30,0.06755715789725752,0.01103019683467975,0.06551236074309597,0.6
35,0.06372041923610257,0.010062253589713091,0.06213619958208477,0.6
40,0.06115858075910135,0.010861495822784315,0.05878980675556217,0.6
45,0.05817782450795487,0.010304085515917058,0.055731466171119515,0.6
50,0.055970973426085334,0.010891627445384052,0.05333806377737438,0.6
5,0.14352677051305113,0.012553183527076699,0.1427129870241553,0.7
10,0.10216218055666282,0.010260658298790122,0.10096927748285817,0.7
15,0.08473840314002354,0.010095971322986,0.08370220533134104,0.7
20,0.07463049574633851,0.009910307717010203,0.07315029044404109,0.7
25,0.06864118104314076,0.009932120727743002,0.06690126520786821,0.7
30,0.0634799446710714,0.009580078366139737,0.06168689188657178,0.7
35,0.05983251204007784,0.010374475519470582,0.05778966423287213,0.7
40,0.05715942723796061,0.010439597613984655,0.05507265502059877,0.7
45,0.05472237426468835,0.01072306794144291,0.052042092577292975,0.7
50,0.05300123041024852,0.01098387551157537,0.05026208483460182,0.7
