n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
3,0.41441714163657256,0.054314019560035995,,,0.04068067963026534,0.03091438006697937,0.4
4,0.4138566248008004,0.04636308877039568,0.02410005698765625,0.01728672810827101,0.03448542798656032,0.02490348874271888,0.4
5,0.41387226625408624,0.04111182857920026,0.016933113356144433,0.012496468221829959,0.029022866867878548,0.021968340239633642,0.4
6,0.41285435921705094,0.03716967849309744,0.013130906983561197,0.00987686201569332,0.02549961779188018,0.019486646820426064,0.4
7,0.4128490493937879,0.034949663394273515,0.010735403776274043,0.00823918903688456,0.023111325934096434,0.017784761716635403,0.4
8,0.41319817435637685,0.0331490926791139,0.00975696766396453,0.007110680136184354,0.02162028579943387,0.01661330609722506,0.4
9,0.4131279566050963,0.031709745633548815,0.008316286834633507,0.006148889520903195,0.020142267738640782,0.014899003203759713,0.4
10,0.41380600424840436,0.03040712496363887,0.0071040211542641,0.0052729458501763705,0.018857628817325833,0.014093545683262704,0.4
11,0.4136855219555969,0.029230751389351297,0.006440388968436619,0.004968319441570861,0.017292490472341295,0.013459909715574614,0.4
12,0.41344724911397224,0.027953965155427127,0.005836466533829538,0.004330549329983077,0.016153453072625987,0.012497897716213234,0.4
13,0.4134727926410772,0.026805485842265827,0.005548379363084138,0.004122129223489321,0.015282831673713545,0.011578558472638441,0.4
14,0.4132878914772269,0.026063286840226362,0.004967848742881549,0.0037374440320140758,0.014533944676153609,0.010947029449759844,0.4
15,0.41302600696518554,0.025307745050442487,0.004555868179244174,0.003405178631340469,0.013785359275089061,0.010698352575980726,0.4
16,0.41307886357497564,0.025206515839388446,0.004303655049806704,0.0032729559337373554,0.013273181304333028,0.01028835552086809,0.4
17,0.4131844295968674,0.024530118617371695,0.004055480446085403,0.0030413985109776285,0.012625094600072698,0.009732603812812523,0.4
18,0.41313957463321355,0.023993703149126036,0.0038304105484455978,0.00278991356320822,0.012189435018355047,0.009268418685325245,0.4
19,0.4131377415403114,0.02344557670476927,0.00360839553102175,0.002735162239503189,0.01160399412414988,0.00893462603986967,0.4
20,0.4130255380395829,0.023019152996038288,0.0033714450978891033,0.002571131335380274,0.011030705595515014,0.008452398479353076,0.4
21,0.4130353310457056,0.022634113971411032,0.0031450065978458033,0.0023744050061315428,0.01036767032063384,0.008073819377513121,0.4
22,0.41306774930333856,0.022316886020697483,0.0030797650042738807,0.0023114391579472566,0.010041596562967391,0.007711926403697579,0.4
23,0.4128810266328082,0.021914930097437203,0.0030333378593860733,0.0022554267746265873,0.009468337148314201,0.00756428220762015,0.4
24,0.41284827619897446,0.021659391470562908,0.0028432057142027617,0.002127848195627917,0.009181931160948202,0.0071413054084516455,0.4
25,0.4128207531303336,0.021313152473965587,0.002686957322241895,0.0020113318034277643,0.008917287267222209,0.006950185223627402,0.4
26,0.4128831297366616,0.021165637368576306,0.0025452570585657226,0.0018650438960095329,0.008709549659394628,0.006824441940599235,0.4
27,0.4130051840065172,0.02099357132189477,0.00250253848080405,0.0018900009718578583,0.008291073394064107,0.006603598338321244,0.4
28,0.4128384357750477,0.020741773088558468,0.0023873667815610027,0.0017816785896381771,0.00801477742025985,0.006329171203792723,0.4
29,0.4127275342719789,0.02061277214592174,0.00226565553370483,0.0016812848963249287,0.007769743251171906,0.006038927522597265,0.4
30,0.4127650127807333,0.020458203144257243,0.0021484078286482526,0.0015503237176625426,0.007338725691674307,0.005818635750401548,0.4
31,0.4127360531063329,0.020267802662334234,0.002110908381529578,0.0015762186572092927,0.007113493502302545,0.00548710286432612,0.4
32,0.41291879220888256,0.02013569741679984,0.002078799095188646,0.0015807232223193713,0.0067590281595397705,0.005343571244492878,0.4
33,0.41284897116704805,0.020119588023745232,0.0018926810194754534,0.001484335307702488,0.006632486468047778,0.0051681994237847695,0.4
34,0.4126935383708756,0.019956706357167644,0.0019864562455596956,0.0014663899270933411,0.006373158531204932,0.004801174228841765,0.4
35,0.4128028414137445,0.019747673825898582,0.0019494547043067073,0.0014591682656172151,0.005967972301003958,0.004573380714598618,0.4
36,0.4128685330653883,0.019609716349336392,0.0018914315129521162,0.0014193289491443535,0.005632282667357474,0.004356817622771761,0.4
37,0.41284500189597767,0.019640042744830985,0.0017250126659949787,0.0012835324837594672,0.005328031903661873,0.004156357888152605,0.4
38,0.41294838166096715,0.019459662765427533,0.0017600544641668324,0.0013452031748989394,0.005186346828908586,0.003948473945082991,0.4
39,0.41297278070947224,0.019295049876205596,0.001669099708972379,0.0012822020971100007,0.004841333327011601,0.003731082605353141,0.4
40,0.41296602055088577,0.019174131560892496,0.0016541339932541427,0.0012516331356884692,0.004596041289691099,0.0035487101911925462,0.4
41,0.41296573684329435,0.01907856704088905,0.00158372219434855,0.0011869420430139091,0.0043260525204597295,0.003396258628626321,0.4
42,0.41303357214466957,0.01899100754575672,0.001602685549996632,0.0011978649103460159,0.004043353152715992,0.003145780801061783,0.4
43,0.4129798994588057,0.018834602953971963,0.0015648659223276944,0.001184403659391432,0.00366026933917873,0.002915999100900131,0.4
44,0.41301099421151993,0.018724659058267815,0.0014765627008509468,0.0010925944243444538,0.0033553530522412206,0.0027378655639194063,0.4
45,0.41290710753446364,0.01869380776103262,0.0015273599530656928,0.0011078307911200846,0.003202415496151296,0.0024563137335667034,0.4
46,0.4128625851959155,0.0185597875418052,0.0014658816759813439,0.001080421571087524,0.0028276517100912796,0.002158323261466048,0.4
47,0.41288752705781695,0.01844161827004743,0.0014221418608095196,0.0010413324787147261,0.002433939917143471,0.0017755762231810857,0.4
48,0.41283843888908767,0.018332239359033213,0.0014027390154682969,0.001020042646887995,0.0019409593727422751,0.0013985159117296038,0.4
49,0.41279920258336095,0.01829358671163709,0.0013694289919748879,0.0010587322874313894,0.0013060805911904235,0.0009700319610979996,0.4
50,0.4127836199605912,0.018269483380326166,0.0013060805911904235,0.0009700319610979996,0.0,0.0,0.4
3,0.5021195671415534,0.052305308102997466,,,0.03931296245207104,0.02926153028480877,0.5
4,0.502951608318092,0.04576829637589602,0.022163435441721696,0.01679919364406598,0.03297852677911903,0.02502421104195631,0.5
5,0.5038375274727627,0.041277982983032,0.015625027714556768,0.011932186191544734,0.028955995216925243,0.02180317714158366,0.5
6,0.5042298400171824,0.03839821239486323,0.013172076212587,0.009823508176784141,0.026272538238141428,0.02064815330764228,0.5
7,0.5032215287812302,0.03619107438184106,0.011227463040935796,0.008551533561209251,0.02425841577941142,0.01884430418021885,0.5
8,0.5034593153230217,0.03492198150094008,0.009761529349755625,0.007128614328819335,0.023059383687137457,0.017104111391371378,0.5
9,0.5038329223296056,0.033391196136302106,0.00815578969565151,0.006058686467382581,0.021693451680045526,0.01607510749292467,0.5
10,0.503213743424297,0.03153880525442507,0.007541177854856689,0.005921790756619031,0.01976953181774861,0.014901402955790342,0.5
11,0.5029681561659689,0.030419007645349903,0.006691037363082392,0.004866200436007796,0.018613348362476845,0.01394189454948955,0.5
12,0.5027395040361982,0.029580417295168488,0.005887084039356252,0.004459267071127542,0.017779635238439433,0.013184641528608404,0.5
13,0.5027012751733841,0.028622580416324067,0.005534593438368791,0.0042116390890883145,0.016605138393930057,0.012590021757057009,0.5
14,0.5027383458967527,0.027806460188652467,0.0050916318422466805,0.0037551422320623983,0.015669606229896358,0.011942296663861103,0.5
15,0.502508214581548,0.027128544854339656,0.004860364522200489,0.0037227790616075245,0.015030681751419193,0.011149843406154525,0.5
16,0.5023896909712533,0.026498818706687275,0.004629820119180592,0.0035096151740793015,0.014315780042021218,0.0107887824211369,0.5
17,0.5024957509045326,0.025856792958815857,0.004100788670021941,0.003075093176840148,0.013871776785670717,0.010232675693384406,0.5
18,0.5020247886277419,0.02529705103682158,0.003945424375471096,0.002983416152621343,0.013179284730603367,0.010015452281897342,0.5
19,0.5020789527771699,0.024604690536982523,0.003749122235445695,0.0027039652274020616,0.01263488253571402,0.009425995189342206,0.5
20,0.502024550393301,0.02428937568971018,0.00352627265639689,0.0026593196860895518,0.012238703243055113,0.009186691927624183,0.5
21,0.5021317547365102,0.0236986070351125,0.003326218411201288,0.0024991571849721653,0.011591579369565782,0.008691493173878097,0.5
22,0.5018541340012398,0.023248988242932662,0.003174581965017181,0.002388593181379319,0.010976400752931926,0.008153701309611293,0.5
