n_raters,mean_kappa,sd_across_samples,cv,range_95,range_90,true_kappa
5,0.4070413253863596,0.03989920813743922,0.09802249955718202,0.1564712766503385,0.13046177022835753,0.4
10,0.4083554577751097,0.02948234393973587,0.0721977467874874,0.11269552658760967,0.09912576193843287,0.4
15,0.40852978301207254,0.023448378410086602,0.05739698642581874,0.09083492816745004,0.0765599199667008,0.4
20,0.40833305844756485,0.01962456660324153,0.0480601954636048,0.07782525078056907,0.06518375202700744,0.4
25,0.40816420146330923,0.01937601121066348,0.047471118587074895,0.07589127583895311,0.06235523216003469,0.4
30,0.40876116703128423,0.01707394575265928,0.04176997995348354,0.06606549718032895,0.05574606942326138,0.4
35,0.4078815250593066,0.01692763681469902,0.04150135707234525,0.06463730388887584,0.05429984344081484,0.4
40,0.40892032803056916,0.016191841871264042,0.0395965687234155,0.06339547675930202,0.053631439129817826,0.4
45,0.40886845802769517,0.014753885540507829,0.03608467528084169,0.05824276579179383,0.04866768009017103,0.4
50,0.408472812363526,0.01465138316888038,0.0358686863003288,0.05724725674583314,0.047872662649930564,0.4
5,0.496584287984644,0.040818919839008726,0.08219937848752673,0.1566297238575881,0.13204876118266284,0.5
10,0.500997528635699,0.02958055755239125,0.059043320299291914,0.11644185019680608,0.09810295901260452,0.5
15,0.5001958415760817,0.025027663712612225,0.050035729273061984,0.09589541109686472,0.0818841887824045,0.5
20,0.5011415983720623,0.020662186006557066,0.041230235274176644,0.08144167016448411,0.06680245661487194,0.5
25,0.49989454455412247,0.019050274093668603,0.03810858570313138,0.07041766266320015,0.061814167164181644,0.5
30,0.5009808142973626,0.017822331164952354,0.03557487763268658,0.07106642638596206,0.057721815960409206,0.5
35,0.5011960593256266,0.01733500555141954,0.03458727423903587,0.07081049040802295,0.0575381625891056,0.5
40,0.5008687244719123,0.015565603579054914,0.031077212088789146,0.06120381506096839,0.049783204898147526,0.5
45,0.5004987323138674,0.015353828910475747,0.030677058540174718,0.05950175738796476,0.04994965119974343,0.5
50,0.5004241703065635,0.014773451381759228,0.029521858172255958,0.057583349462679456,0.04746136702995418,0.5
5,0.5935192984287547,0.03926443621620519,0.06615528142075812,0.15210543786243969,0.1278328094403538,0.6
10,0.5959058551001157,0.028208145158101775,0.047336579959199494,0.11199572982078276,0.09017377814729954,0.6
15,0.594640396783353,0.024214120601832277,0.04072061153735285,0.09013700870358188,0.07817596827228723,0.6
20,0.5959097554573523,0.020626048986077554,0.034612705694417364,0.0817619151941591,0.06880448766648273,0.6
25,0.5955058228283272,0.018677718988787742,0.0313644607202643,0.07302572848053712,0.061436119260282473,0.6
30,0.5952059127480246,0.01827719988389185,0.030707356046762505,0.07038473132544487,0.058186487006370635,0.6
35,0.595715218004721,0.016867196758866658,0.028314194851965298,0.06736598215968193,0.05505353156107706,0.6
40,0.595893386095963,0.015471575506626607,0.025963663748627436,0.05939347054607613,0.05007762317957298,0.6
45,0.5963305308569802,0.014951120156658226,0.02507186766904611,0.059220095262965455,0.04801947035556964,0.6
50,0.5967687250326059,0.01411777194941878,0.023657023830542426,0.05571243390639291,0.046579006045102345,0.6
5,0.6954012519382119,0.03890808485428773,0.05595055336159333,0.16071564421815976,0.1294957828855421,0.7
10,0.6935628082750238,0.0277335734878785,0.03998711170348842,0.1099350352287044,0.08990130106066951,0.7
15,0.6930514726029071,0.022788143376802714,0.03288088154724906,0.08834273391515557,0.07242218820786639,0.7
20,0.6941648643748417,0.02039100417267472,0.029374872194141755,0.08051261883854044,0.06849006973765415,0.7
25,0.6943013948756689,0.018134503348170926,0.026119065123610098,0.07104389657911181,0.05859008611265737,0.7
30,0.6933617446009956,0.016913367129797005,0.024393279931430353,0.06438826604143288,0.05464913393345194,0.7
35,0.69425530535496,0.015460369569209985,0.022268997370218698,0.058628286834808696,0.04962594709759127,0.7
40,0.6933777498000167,0.014765155436492917,0.021294533089288584,0.05745755713606504,0.04798905839901957,0.7
45,0.6932964555375144,0.01410328371314356,0.020342356578484523,0.05638080896517095,0.04433310290620984,0.7
50,0.693815370215156,0.013538715281602946,0.019513426572554185,0.054120306669390494,0.044809708672610804,0.7
