n_raters,mean_kappa,sd_across_samples,cv,range_95,range_90,true_kappa
5,0.40376871886402466,0.06289778825643853,0.15577677347912713,0.24388576358268393,0.2096806356199778,0.4
10,0.4056202239440585,0.0443031980643879,0.10922334599987307,0.17414157936915475,0.15252488622535332,0.4
15,0.4073511047686127,0.036015433546538446,0.08841373725252633,0.14109182388373825,0.11469679573383845,0.4
20,0.4052333068001209,0.03057394166741352,0.07544775109636769,0.11950183639575301,0.1021945459043439,0.4
25,0.40526594190774223,0.027889712560237347,0.06881829849542691,0.10939535900632558,0.0900918940986179,0.4
30,0.40484268348692265,0.02590093782480727,0.06397778416475675,0.10123657571268452,0.08525585515713902,0.4
35,0.40335076090649463,0.024111980671944273,0.05977918727054031,0.09272948898739514,0.07819386428439606,0.4
40,0.4037863855351909,0.023371551447599646,0.05788097936145686,0.08981589949811192,0.075454972127659,0.4
45,0.40405308488431885,0.020401211170412024,0.05049141296929568,0.07900877522247751,0.06617833242838811,0.4
50,0.4046327082504397,0.020894924473992896,0.051639237382313595,0.08074083097661905,0.06804245878592963,0.4
5,0.4969043537006481,0.06590892810666793,0.13263906346526738,0.26066320194971593,0.2153499900817118,0.5
10,0.49901368984113825,0.0448226906993167,0.08982256721972111,0.17318679371914103,0.14574690266741197,0.5
15,0.49743151682511827,0.038422694158241816,0.07724217878970878,0.1526353753686256,0.1269099689623197,0.5
20,0.4992058498361911,0.03177134578187616,0.06364377699560528,0.12352194808089384,0.10517123480288909,0.5
25,0.4980112504499814,0.02762652725654586,0.05547370110932981,0.11064000189326184,0.08861484456154828,0.5
30,0.49752665769977134,0.026457488956510226,0.05317803286929762,0.10499355901863444,0.0871466016411429,0.5
35,0.49845980371151766,0.02545955275092352,0.05107644099153514,0.0975972056957623,0.08342424165001755,0.5
40,0.4986907954144107,0.02376949257080895,0.047663788442408615,0.09237022170995796,0.07714565504778792,0.5
45,0.4980326605732797,0.02246705107536893,0.04511160181644988,0.08931515573666654,0.07413475148204973,0.5
50,0.4977336706999902,0.0217332696686038,0.04366445540652114,0.08716532029533797,0.07237213527867131,0.5
5,0.5911182077904974,0.06575214565782132,0.11123349744815343,0.2556333224452318,0.2156474429478148,0.6
10,0.5975498482759547,0.04561908209530233,0.07634355899666292,0.17111172410329845,0.15020425873138366,0.6
15,0.5927332874494879,0.03605397086046364,0.060826634211152045,0.13794205826897954,0.11734025022912442,0.6
20,0.5947077474349852,0.03301586568396661,0.05551611833941339,0.13019192360873377,0.10844392796817393,0.6
25,0.5950979483079374,0.02909323120033086,0.04888813897452118,0.11076178001087955,0.09222552517815796,0.6
30,0.594033196036863,0.027815966884409075,0.046825610201560085,0.11504186930922744,0.09147341383155527,0.6
35,0.5940986967583739,0.02588786814584581,0.04357502934630182,0.09886117626021262,0.08416849675074811,0.6
40,0.5955274228872403,0.02229036784517787,0.0374296245454316,0.08775363444857709,0.07264250572724384,0.6
45,0.5935864163143169,0.02143400600932918,0.03610932699979342,0.08312464624299454,0.06783343568661404,0.6
50,0.5934989008940101,0.021006358014266605,0.035394097584045936,0.08288403384612075,0.06724494734699604,0.6
5,0.6891849787016293,0.06005705012524944,0.0871421345230017,0.2338868858424593,0.19757756053187858,0.7
10,0.6933489058740999,0.04295724636871602,0.06195617531776463,0.1705319815980012,0.14071140574606544,0.7
15,0.6933552284596489,0.035229394274753065,0.05081002180227059,0.13722580372218918,0.1156634838763666,0.7
20,0.6904680640964059,0.03164683443887122,0.04583388585869855,0.12331698877641639,0.10494326259580555,0.7
25,0.6935137362246078,0.02758017489922941,0.03976875072348537,0.10918826498562018,0.08979519927118962,0.7
30,0.6931407363431173,0.025585385143199406,0.03691225143999353,0.10202192672557386,0.08590231273124449,0.7
35,0.6936427023237735,0.02326246677869892,0.0335366705376807,0.09143204659255377,0.07569541284783143,0.7
40,0.6939425696561089,0.02279983751931291,0.03285551069537588,0.08856901612650658,0.07555426119426056,0.7
45,0.6916560885086037,0.020857509735289957,0.03015589695778483,0.07949558016114844,0.0700641534322688,0.7
50,0.6919373995852249,0.019520542573074354,0.02821142864192014,0.07657001233761096,0.06681344447059367,0.7
