n_raters,mean_ci_width,sd_ci_width,median_ci_width,true_kappa
5,0.25935893024323775,0.025968884684945934,0.2578678509717972,0.4
10,0.18230651130377368,0.024206920232297837,0.1801733072859839,0.4
15,0.15482714895009456,0.024496604484578226,0.15200440158534018,0.4
20,0.13830924380132978,0.023479722043615897,0.13489457932579568,0.4
25,0.12656331822359188,0.023515610202369044,0.12220773883962921,0.4
30,0.11890596504648737,0.023606324962558874,0.11429419800427007,0.4
35,0.11387909016137568,0.024732673079519353,0.10893397637789903,0.4
40,0.11018969313431078,0.02544472620971102,0.10447309350848416,0.4
45,0.10538359698935242,0.025849733774739557,0.09898681512924062,0.4
50,0.10340722773709163,0.026295822364436134,0.09622725242609645,0.4
5,0.2645463907760101,0.02813921703980927,0.26192593609100145,0.5
10,0.18850410051704208,0.026529726516711157,0.18476456421097986,0.5
15,0.1608640151274882,0.02666424199510718,0.15633708886811265,0.5
20,0.14201569717182777,0.02710254262585448,0.1368301057305168,0.5
25,0.13041581861306076,0.02606082424477994,0.12553918597404654,0.5
30,0.12273371953174748,0.025941484787923956,0.1175764010166602,0.5
35,0.1164175201294651,0.0263545236468457,0.11056347957133261,0.5
40,0.11472011967198566,0.029846721074362106,0.10771198142534891,0.5
45,0.10913705684383554,0.02704276092886824,0.1025453521095748,0.5
50,0.10673493176953178,0.028480346736722253,0.09986970468789086,0.5
5,0.25805271340386077,0.027011902257208443,0.2558126945832533,0.6
10,0.18695277582105532,0.029626313527883513,0.1830998441833364,0.6
15,0.15868689045303366,0.02886671545583478,0.15325035448005658,0.6
20,0.14132372626418768,0.028640247999347286,0.13557887528785653,0.6
25,0.13156093278109648,0.02938770715253112,0.12532325502848146,0.6
30,0.12395139724436759,0.02984329164459223,0.11701407870293767,0.6
35,0.1182618529144012,0.02995625167750573,0.11064916730786259,0.6
40,0.11414307143222953,0.032523358886250194,0.10577127539250525,0.6
45,0.11008809745408085,0.03180894499175731,0.1015247230532027,0.6
50,0.10603654822082748,0.031499797105849686,0.0977998525406267,0.6
5,0.24511685867722907,0.03067466647797132,0.2422467406230222,0.7
10,0.1781932572226629,0.029648047918137528,0.17374908075778994,0.7
15,0.1492033343568483,0.029881310241628035,0.14412309263435158,0.7
20,0.13485119824384262,0.029484278811707603,0.1298221969780382,0.7
25,0.12437376735733227,0.030704958154040916,0.117149698905949,0.7
30,0.11616885630730854,0.03001487260603526,0.10984658942845582,0.7
35,0.11058168932996733,0.028937017897212997,0.10336095402674222,0.7
40,0.1060392445353836,0.0273938178689883,0.09862657009884779,0.7
45,0.10366141735641857,0.03199105050131554,0.09562113009444001,0.7
50,0.1008119139478708,0.03290799928484167,0.09245939938093944,0.7
