n_raters,mean_kappa,sd_across_samples,cv,range_95,range_90,true_kappa
5,0.40801315992802883,0.03588646766701161,0.08795419165730285,0.14282752227841305,0.11608118823790264,0.4
10,0.41052106680483824,0.025894087029868784,0.06307614669183065,0.10513878621489964,0.08602368414106365,0.4
15,0.41229146273792444,0.021097437656619793,0.0511711727342521,0.07941634275421938,0.06889587355532445,0.4
20,0.41009538477040086,0.01886306917497155,0.04599678483466078,0.0761571218369077,0.06172921804748688,0.4
25,0.41079589512849396,0.01781310691554069,0.04336242675932504,0.06857944681875483,0.05804096288217697,0.4
30,0.41108233281632034,0.01660379059080733,0.04039042611501922,0.06587998933326483,0.05355648836575688,0.4
35,0.4107850264507388,0.016605515472001574,0.04042385774251901,0.06425016443576581,0.05327621004818622,0.4
40,0.4106944098792015,0.015932482610585802,0.038794008945171814,0.06232311650154293,0.0523080259095538,0.4
45,0.41001316375389557,0.015008283723607296,0.036604394810640276,0.057383372951723965,0.04829758166056558,0.4
50,0.41050108403651325,0.01394714362390766,0.03397589961703266,0.052774077996960544,0.044302010303364836,0.4
5,0.4994709034257871,0.036847406991817,0.07377287993972587,0.14449263949672303,0.12094853986167914,0.5
10,0.5007730083422683,0.026164872943958157,0.05224896811146616,0.10250057589034212,0.08773281514689518,0.5
15,0.5005687330035127,0.022638355024166005,0.04522526784350141,0.0867704139121594,0.07381293747081308,0.5
20,0.5019515426215198,0.020398893746623167,0.04063916935106282,0.07889116258059381,0.06917876109638721,0.5
25,0.5020142969086118,0.01907191330682456,0.037990777203495606,0.07566997329188774,0.06330547614274679,0.5
30,0.5012336632111759,0.016335043708281118,0.03258967804283122,0.06320349822067434,0.05214597847664959,0.5
35,0.5016503447040739,0.01674953478756073,0.0333888633076518,0.06756308739505712,0.055847758801997605,0.5
40,0.5019314862816782,0.01546903070855418,0.030819008433101442,0.06055106091838186,0.0492769977525756,0.5
45,0.5016099680129897,0.015431653312102714,0.03076424771467678,0.060042291843333984,0.05083372015653165,0.5
50,0.5016771749788638,0.015458750830638126,0.030814140251227137,0.059343381313951504,0.04881267626372232,0.5
5,0.5954885411538944,0.03575653439124172,0.06004571359501781,0.13544355749825376,0.11503732739041417,0.6
10,0.5978408321702027,0.025948545081635223,0.043403768503801,0.09964153054999103,0.08375492120454042,0.6
15,0.5972962044938801,0.021601443339549466,0.03616537854589832,0.08146763978201566,0.06995057754976985,0.6
20,0.5967378134134554,0.019206801589699393,0.032186332352281785,0.07488455910528302,0.06358092007879568,0.6
25,0.5965508416582345,0.01774969300490738,0.029753864658992848,0.07186190842239037,0.057701006348969575,0.6
30,0.5952421591184289,0.016363713811646682,0.02749085151475464,0.062067227456873875,0.0525527649201456,0.6
35,0.5961022195985061,0.016232237885354064,0.027230628156840277,0.06298213475595149,0.050760026680150006,0.6
40,0.5953530009390523,0.015063165570748214,0.02530123396873625,0.06055269746770242,0.049675141196162564,0.6
45,0.5954342098699344,0.01488640418786094,0.02500092191732265,0.0574434807037858,0.04870361144411539,0.6
50,0.5962693230339214,0.01508285264872835,0.025295369166376338,0.05974352681677808,0.04908342516483255,0.6
5,0.6933004250317613,0.03446377505163774,0.04970972728028963,0.13503294515729003,0.10947647828411311,0.7
10,0.6914978105977521,0.023914302726126425,0.03458333831231391,0.09032087834765345,0.07606766002733145,0.7
15,0.6925209856433954,0.021826027376385792,0.03151677397343858,0.08861310612689821,0.07187228631052212,0.7
20,0.6930866462496806,0.01775055690148738,0.025610877077976248,0.06653171417539938,0.05811828101193006,0.7
25,0.6929991353597277,0.016664628540827675,0.024047113034531078,0.06496865256931039,0.05303064587423134,0.7
30,0.6940596589480261,0.016035708623808816,0.02310422226255572,0.0643064168918338,0.05395910718502017,0.7
35,0.6931900230997001,0.015259438416363668,0.022013355512719105,0.061413214978563224,0.049646356430113614,0.7
40,0.6931284680026247,0.014986216676913546,0.021621124176444583,0.05524348492606035,0.04695632301407904,0.7
45,0.6926155725103456,0.014502851357174579,0.020939251054679326,0.05592269043742959,0.04496980230694336,0.7
50,0.6928842588662144,0.014044572688367677,0.020269723995966077,0.05681012988830492,0.04714581028543241,0.7
