n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
3,0.4105000809230425,0.04850318707759183,,,0.03702485713296269,0.02757463488009177,0.4
4,0.41064525326512513,0.040274475321841634,0.020699268998805125,0.015935366363693262,0.030141570417337598,0.022768299041045832,0.4
5,0.41033550120778506,0.03532232810052891,0.014163379746330744,0.010918814362008854,0.025909357690321037,0.019540989602398636,0.4
6,0.41015893690686117,0.03298663499535533,0.01134504466141456,0.008824491108815708,0.024221722663816884,0.017651934163264476,0.4
7,0.41013094739421724,0.03068030646691493,0.009769398452972262,0.0073909850985235375,0.02195015542147107,0.016126365972596392,0.4
8,0.4103040088740484,0.028642085555330144,0.008430866519465912,0.006264550762026055,0.019724813407544776,0.014741966804547865,0.4
9,0.4104163012671165,0.02763471984762822,0.0072977439646998155,0.005340911782855,0.018912378949704146,0.013845337285209175,0.4
10,0.4104805948392978,0.026227681231411573,0.006472258154464277,0.004915635543993182,0.017689458175302767,0.012823959409428435,0.4
11,0.4102845325121376,0.025247545634876113,0.00561695741460712,0.004593798584338206,0.016307292055465075,0.012243357732088275,0.4
12,0.41049505297880834,0.024473971263147532,0.0051086868656687896,0.0038071522892526126,0.015335539639843567,0.01158861472441297,0.4
13,0.41049129207006047,0.023673446026146305,0.004692692648561821,0.0035456025101688994,0.014726147507295465,0.010987123795059046,0.4
14,0.41059108880103484,0.023076037574214975,0.004492004477988366,0.0034454324875255737,0.01405843743596837,0.010637966413335859,0.4
15,0.41072451384093206,0.02236789926483426,0.004197256922382834,0.0031875659919842775,0.013123868388089216,0.010170306666769014,0.4
16,0.4106906007450051,0.021770225128492075,0.003928126193007693,0.0029791487047950717,0.01261777807819653,0.00954248800223123,0.4
17,0.41063862579845073,0.02132437958409679,0.0036757530413631346,0.002771796254856844,0.01189001059410781,0.009330641010989413,0.4
18,0.4106438109705652,0.02087430657990074,0.003388858732769301,0.0024584956820334096,0.011322731486261183,0.0087928133122848,0.4
19,0.41061161101618676,0.02057186208153104,0.0031958666821484843,0.0023833927801386622,0.01095902618314523,0.008379169162551988,0.4
20,0.41052308509095375,0.020066664915243056,0.0029424679234072632,0.0021953714283427204,0.010521622433386665,0.0077157639515801416,0.4
21,0.4105296824496467,0.019574101989252128,0.002827291964296857,0.002106625308381849,0.01020239085167742,0.007381264461326725,0.4
22,0.41034310744765057,0.0192855935336222,0.0027677892445921353,0.002196777814874124,0.009713134821547474,0.007200248757150797,0.4
23,0.41021517266650237,0.019256532220283017,0.0026539013434360905,0.002038029100166327,0.009505550292195583,0.006902970319304353,0.4
24,0.4102318979178193,0.01897077134224439,0.0024958915404202126,0.0019041548677454392,0.009147028885680683,0.006634735970119208,0.4
25,0.41024943204786807,0.018706447757131234,0.0024236268384314036,0.0018572980768373733,0.008784630984539993,0.0064635327660969985,0.4
26,0.41017396864568145,0.018323708202700392,0.0023598763353142108,0.001718284266034006,0.00840805760071287,0.006104003104055463,0.4
27,0.41017161879286734,0.018036457794238226,0.0022583790623695215,0.001652888991886418,0.007891674611871964,0.005779471209537129,0.4
28,0.41013319557873834,0.017798529246937013,0.0021394576265193065,0.0015805243639238306,0.007436381421025829,0.005456308413001461,0.4
29,0.4101160161476579,0.01760922181070505,0.002072933927719245,0.0015556626612285838,0.007084980541162291,0.005254814717160964,0.4
30,0.41003508940227923,0.017513686353928276,0.0019358287321820265,0.0014950277601125253,0.006841039325725082,0.005067666188457895,0.4
31,0.4099942221969247,0.017445603817240092,0.0020166435249586345,0.0014423463893555649,0.006402274296385401,0.005007031724043519,0.4
32,0.40989045630054305,0.01731630102165047,0.0019061498585423232,0.00139398750377875,0.006113506982535743,0.00471470821028306,0.4
33,0.4098361630187326,0.017154929749810952,0.0018634998139372653,0.0014132527758076506,0.005848586865991446,0.004576380008088825,0.4
34,0.40985092348982877,0.016919184990095152,0.0017511738228730082,0.0013341163917235358,0.005532587171061836,0.004353533114387437,0.4
