n_raters,mean_kappa,sd_across_samples,cv,range_95,range_90,true_kappa
5,0.4168122899605975,0.04712954948006829,0.1130714007605764,0.18079534570077527,0.15500188671716503,0.4
10,0.41820151016175144,0.034503307328483786,0.0825040237543347,0.14154072534677165,0.11550392837923162,0.4
15,0.41872110245612637,0.031107606592979797,0.07429194853211214,0.12151108808460503,0.10101676126317144,0.4
20,0.418146154429525,0.02805406391475662,0.06709152677257227,0.1113773075713701,0.09284083873852705,0.4
25,0.4190588859520677,0.025431698018754476,0.06068764765833739,0.10120695125344381,0.08302194307888172,0.4
30,0.41878528234679085,0.024125931592360022,0.05760931104637445,0.09577093657573987,0.07954320750428229,0.4
35,0.4178249784782424,0.02499764313750368,0.05982802471156088,0.10272962429724136,0.0804439064429388,0.4
40,0.4187184045914023,0.023704591066262975,0.05661225015746468,0.09639691218705737,0.0752988557265234,0.4
45,0.41920436736295447,0.023633890202694928,0.05637796750870273,0.0934037433135288,0.07061744615016469,0.4
50,0.4192146283517253,0.021737483585320284,0.051852874673739474,0.08689238709875158,0.07168957589620595,0.4
5,0.5043444732914709,0.048822633950982734,0.09680414188412677,0.19357468850946757,0.15953474515991367,0.5
10,0.5043060718635805,0.03633548249198264,0.07205045610042095,0.14190892710286163,0.11540278794515602,0.5
15,0.5055581532272215,0.03194989543908373,0.06319727065053177,0.12666364808432878,0.10276839296385032,0.5
20,0.5041667751837234,0.0290333391981588,0.05758677609721259,0.11419016654005032,0.09604446615549667,0.5
25,0.5047417431010768,0.026773499233428137,0.05304395683411234,0.10497445065712613,0.08526356762614784,0.5
30,0.5048371135620107,0.026234298194727525,0.051965866791418236,0.10714180879217294,0.08140015469461248,0.5
35,0.5047448689429143,0.025266746460649088,0.05005845133911943,0.10229147692780272,0.08170115465772382,0.5
40,0.5056836399608594,0.02440171565474247,0.04825490430465813,0.09740557115671733,0.07903766285718844,0.5
45,0.5036731767884066,0.024480552762412552,0.04860404303939506,0.09693316746620739,0.0770592622130743,0.5
50,0.5054976074710149,0.022970529634637974,0.04544142107726019,0.0923856565355719,0.07664988086040869,0.5
5,0.5953599928537248,0.04680423957425963,0.07861502307186277,0.18777002793630132,0.15524009671626038,0.6
10,0.5951174207822809,0.03545273802509923,0.05957267723485,0.1357436507102665,0.11341163422264611,0.6
15,0.5960831804350926,0.030575968771414216,0.051294802093050554,0.11891714642234974,0.10029971032728169,0.6
20,0.5955818862912401,0.029446972481305397,0.04944235739719223,0.11119908594422179,0.09424661786368649,0.6
25,0.5965543590612704,0.025256480761319516,0.04233726629885458,0.09904257795836724,0.07867559480447917,0.6
30,0.5965498956515641,0.025517012385063268,0.04277431371803872,0.09702783428368433,0.08192660402868956,0.6
35,0.5958543667569572,0.025195485467211055,0.04228463677180372,0.1022874476751785,0.07965026843666467,0.6
40,0.5960734330974221,0.02382721649824649,0.039973626025289026,0.09566027815364231,0.07235390128277053,0.6
45,0.5958287361335454,0.022638270847599534,0.03799459387357499,0.08925830705249427,0.07164365481469759,0.6
50,0.5957601230243654,0.02323359959634577,0.038998245599925055,0.08967558395885944,0.07422595684979061,0.6
5,0.6909320926612746,0.04453721595880144,0.06445961395027507,0.17272766277753426,0.14503391032551405,0.7
10,0.6925871650867553,0.03302724673890013,0.04768677273244452,0.13038450241661526,0.10336540218849422,0.7
15,0.6908139110003906,0.03056416490327731,0.04424370212669332,0.12072538567923563,0.09598410683667302,0.7
20,0.6925427828655099,0.026590386058362826,0.038395297324940306,0.10563611554868524,0.08743141349250305,0.7
25,0.6917276658798803,0.023295738829664486,0.03367761617577087,0.09194597133557281,0.07312191397137013,0.7
30,0.6901209800583642,0.02436672856442327,0.03530790871241525,0.09613285957225837,0.08066523017786131,0.7
35,0.6901158174043632,0.02444569725550621,0.03542260101710234,0.09372965653902976,0.0781404489041998,0.7
40,0.6922594991134863,0.02144202301652415,0.030973967195803018,0.08479686661702912,0.07036634867494396,0.7
45,0.6910951208282693,0.02361002690391509,0.034163208786105674,0.09096668416831177,0.07359956951196223,0.7
50,0.6899860881736369,0.021939856392511323,0.031797534426505854,0.08693630305422662,0.07094219884765562,0.7
