n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
3,0.41581009044675044,0.06324765511067416,,,0.04752669675861363,0.03413482673585831,0.4
4,0.41647816986537745,0.05334361919598446,0.02575512753660523,0.019801803765448267,0.038923685434907505,0.02844003843865184,0.4
5,0.41821733025436447,0.047905936780242624,0.01954952800247188,0.014099425143672914,0.03339892822318616,0.025490363113923855,0.4
6,0.4180984819110823,0.04478337245860759,0.015379614477742526,0.011198713456799516,0.02992627272215847,0.02290123542402779,0.4
7,0.41842707630060844,0.041211801597311415,0.012153417008792461,0.009384027531366421,0.02680853694879393,0.020159090241128066,0.4
8,0.418445452696393,0.03881477660464099,0.010746950824413223,0.008037985382400687,0.024394217341436833,0.01816071031956997,0.4
9,0.41800767582820125,0.036826873526084165,0.009078069969667637,0.006998056364599747,0.022717623497591183,0.016662045816099116,0.4
10,0.4183923774513171,0.03496333899888155,0.008295269002530406,0.006240139263408551,0.021190352033230424,0.015498208222859683,0.4
11,0.418553463998164,0.03432982970646395,0.006912009451986706,0.00523408409243908,0.020120570482010474,0.014714554548159852,0.4
12,0.41892484869847485,0.03332963716310058,0.006702832907977107,0.00501484327172959,0.01888505662112316,0.014295288646264132,0.4
13,0.4185729618880877,0.03253465511743997,0.006129092368271087,0.0046295065520631975,0.018102409876005705,0.013356877198530206,0.4
14,0.4186820375742085,0.03179904681691545,0.0055766877309883925,0.004060306874257448,0.017048093539525182,0.01300860530296179,0.4
15,0.41860775053839466,0.030946235649884014,0.005362156933936765,0.004038367030974552,0.01637354209881556,0.012362891429888254,0.4
16,0.41875404870451155,0.03000245839376546,0.004838962885553485,0.0036354180334126577,0.015583020190055247,0.01157843835956797,0.4
17,0.4191806923626063,0.02953959125280428,0.004690593527702306,0.0034781971433549435,0.014801853823524882,0.011221346859433226,0.4
18,0.41930667472753475,0.0286650555964807,0.004174929061889472,0.003192773206216806,0.013826343467822853,0.010593849386232056,0.4
19,0.41953515252139745,0.02821385661586149,0.0041868150710212436,0.003082613756790015,0.013232014920116698,0.00998828554470179,0.4
20,0.4194861942817279,0.027929820819756958,0.003686575060152044,0.002874630410172327,0.012812325026272673,0.009659592692642488,0.4
