n_raters,mean_kappa,sd_across_samples,cv,range_95,range_90,true_kappa
5,0.4124993209109035,0.04119173254176471,0.09985890995117974,0.16265516325040896,0.1375952298453169,0.4
10,0.4135776559708906,0.029942231917921548,0.07239808893357869,0.12025898824621467,0.0994881681628989,0.4
15,0.4129094354249631,0.024854592699616086,0.06019381144447798,0.09533495698363964,0.08216380988187888,0.4
20,0.41331226043296126,0.023091784566594362,0.05587006913950432,0.09005539776517307,0.07708392878906895,0.4
25,0.4136291460065175,0.020507280040579313,0.04957890477151284,0.08051564402986366,0.06662016624819678,0.4
30,0.4130432582304849,0.020209422763880127,0.048928102229435104,0.08205415908075153,0.06313901040555792,0.4
35,0.4142722793375202,0.019584943414859956,0.04727553445328044,0.07801103398655534,0.0633666849288203,0.4
40,0.4138153579968157,0.018039186320783336,0.043592355798747685,0.06831971382462404,0.05856643159925795,0.4
45,0.41394710946885016,0.01825953213534218,0.04411078545462394,0.07287668485097765,0.05775793194376372,0.4
50,0.4127607654048732,0.01700247748243263,0.04119208729966148,0.06847227422679208,0.055797864603348846,0.4
5,0.5030004744342192,0.040681283354963634,0.08087722660842897,0.15847451478163493,0.13396953664408945,0.5
10,0.5023913272430967,0.030823100047458356,0.061352770989503376,0.11897471167129586,0.10277527704834177,0.5
15,0.5025933814579502,0.02573148567764666,0.05119742246307217,0.10218947952607599,0.08503480161268856,0.5
20,0.5033330495963315,0.022368332393418337,0.04444042053538415,0.09121352206249356,0.0737573960957641,0.5
25,0.5028972365138736,0.02244061657607871,0.04462266830424237,0.08789602434846167,0.07399417666891372,0.5
30,0.5024093444472016,0.019671218033371546,0.03915376624814907,0.07498302173347093,0.06314157124525194,0.5
35,0.5023208710873311,0.019970182291274643,0.03975582827774385,0.08201610668559678,0.06339392153457152,0.5
40,0.5014857621916348,0.02007310653293868,0.040027271053944824,0.08002812004653614,0.06574814543472673,0.5
45,0.5027214891675078,0.019194559172229002,0.03818129836465641,0.07695133558785316,0.06313079914996633,0.5
50,0.5029265621887138,0.018565649921470043,0.03691523040794101,0.07336332155934416,0.059898922807861577,0.5
5,0.5947856523387998,0.04166027420642861,0.0700425002563751,0.16412664488326834,0.13441030693448985,0.6
10,0.5953543480929482,0.031112632746135797,0.05225901657692843,0.12346742243848285,0.09976319655332788,0.6
15,0.5948534076563875,0.026784804068822724,0.04502757103527389,0.10817909283370641,0.0876345510684895,0.6
20,0.5961882595882871,0.02322580868351931,0.038957172185105554,0.09222857056591127,0.07619256809390562,0.6
25,0.5951881297927014,0.022359577387030215,0.03756724347781911,0.08581185596934471,0.07331840903868359,0.6
30,0.5958771785180805,0.021096064142868985,0.03540337657390058,0.08176422166620567,0.06785019124925973,0.6
35,0.5952365364581782,0.020946519087935024,0.035190244222192066,0.08428910652735211,0.06565296414695265,0.6
40,0.5961016379477939,0.018577540169856112,0.03116505472760187,0.07496704096260587,0.05875244661597845,0.6
45,0.5961387753787876,0.018539360290263627,0.0310990679619585,0.07383076882697914,0.05791074351970005,0.6
50,0.5951997048701891,0.01765049259017277,0.029654740158216772,0.06979671384080421,0.05393804866152874,0.6
5,0.6904712730627103,0.039194997908596825,0.056765573656294664,0.15378743078778967,0.12454324082383761,0.7
10,0.6917979592415443,0.02791876993093362,0.04035682609058645,0.10903597846121493,0.09067834941326514,0.7
15,0.6921288540517603,0.024024993621294802,0.03471173536640059,0.09354663468592772,0.07788522317784596,0.7
20,0.6923730442665583,0.02211208850046235,0.03193666865509768,0.08759222411357559,0.07284544324358633,0.7
25,0.690832474716697,0.020434715935994354,0.029579842702638456,0.08034908412470954,0.06541873722176128,0.7
30,0.6925602156828806,0.018070678379778927,0.026092573570603985,0.07107516579934348,0.058520592255248194,0.7
35,0.6917951747869595,0.017450013006891384,0.025224247931861003,0.06842014249655848,0.05676141775361199,0.7
40,0.6935003536739789,0.017784047335244565,0.025643890794041346,0.07298262321343496,0.057728382805270484,0.7
45,0.6914943448886176,0.016637692311864884,0.02406048933711063,0.06962324317055835,0.05349662661318799,0.7
50,0.6921674927366944,0.016616913251454864,0.02400706971336497,0.06561515319875333,0.05170911597897965,0.7
