n_raters,mean_ci_width,sd_ci_width,median_ci_width,true_kappa
5,0.15209768340027582,0.01254077814242307,0.15205974184808463,0.4
10,0.10556326267631631,0.009607356765410054,0.10484797561709144,0.4
15,0.08671041274834622,0.008233543181718348,0.08648363911636758,0.4
20,0.07550719150913396,0.00777848049831688,0.0750850614688281,0.4
25,0.06852134202762311,0.006891865744391175,0.06829585065469773,0.4
30,0.06301397284219153,0.006854230352002279,0.062490699635814634,0.4
35,0.059381117889488036,0.0067497230745706596,0.05868618660740435,0.4
40,0.05616468589015767,0.006924606766096648,0.05515267565141707,0.4
45,0.053971855361366006,0.006957569189364691,0.05318638661610717,0.4
50,0.051634937095430815,0.006950623176649197,0.050843979199273165,0.4
5,0.15485789826115562,0.011577743586398728,0.15440035855495376,0.5
10,0.10932424224729868,0.009714830115727673,0.1090305757477075,0.5
15,0.08992080424038838,0.00838624276769147,0.08971257392257848,0.5
20,0.0791339625880452,0.008360211402728475,0.07833332666535042,0.5
25,0.0712158348931542,0.00759459018112262,0.07094727087470476,0.5
30,0.06591692782046676,0.008026168649527023,0.06512292066978606,0.5
35,0.06172411200297178,0.006886513573502299,0.06133044826894657,0.5
40,0.058294147309299806,0.0072770204055666796,0.05735840956333893,0.5
45,0.05531450816581077,0.007020264517807258,0.05442833836747779,0.5
50,0.05365720539666111,0.0073510212982143275,0.052632754367352874,0.5
5,0.15425102127946774,0.010814071729546307,0.1539666205856982,0.6
10,0.10835401373917973,0.009474406301762408,0.1077641408824751,0.6
15,0.08965932165838299,0.00862368074203362,0.08898721873444371,0.6
20,0.07891442288448464,0.008344051923597315,0.07780171996372404,0.6
25,0.07114876741088805,0.007542065102237188,0.07034744386987168,0.6
30,0.06586281566563229,0.007597221756512114,0.06519176687011918,0.6
35,0.061945679938920424,0.007336556641071556,0.06120487762998411,0.6
40,0.058104004488884656,0.007331898265796855,0.05712805219455275,0.6
45,0.05544504905991984,0.007634132514840047,0.05455455955195965,0.6
50,0.05321827001137783,0.007101236434107912,0.052330621001596744,0.6
5,0.14563454556044683,0.010854337354415848,0.1456077123491757,0.7
10,0.10338573842583489,0.009239458570858974,0.10288587579789255,0.7
15,0.08517181109249526,0.008442925392430958,0.08475942145343784,0.7
20,0.0749121607637915,0.007838305516099604,0.07407615717785865,0.7
25,0.06729635763293314,0.007474462695301087,0.0666095856322308,0.7
30,0.062136013791112575,0.006784691127813605,0.06152884087791638,0.7
35,0.05827781387521673,0.006674338477067162,0.05760827876030905,0.7
40,0.055143407305566945,0.006577955774891179,0.05446637124003323,0.7
45,0.05250243473398764,0.007123649422831236,0.051463989411857314,0.7
50,0.05037259546998064,0.006884592879497779,0.04950082574879883,0.7
