n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
3,0.40858833892329405,0.05405347931333248,,,0.041494608756755015,0.03202769734692349,0.4
4,0.4089053585590864,0.04697554684089249,0.02324208925940509,0.01716205279249085,0.035760735927963166,0.027035429734052752,0.4
5,0.40957460595403766,0.04080186755448979,0.01695197258324589,0.01270947835373945,0.03011431463929276,0.023785384530210365,0.4
6,0.40852472067819484,0.03653781082967969,0.013749049815178832,0.010228819051211405,0.026491324717019173,0.020321750250520302,0.4
7,0.40794238723161175,0.03341628445298305,0.011364480514095297,0.008646736315887488,0.023766462507556995,0.018272489626726784,0.4
8,0.4074800394261634,0.03188171986890336,0.00909883158371721,0.007069578919910199,0.022326333199239247,0.017061168451625485,0.4
9,0.4071907558926572,0.02993119778407633,0.008087861043210494,0.005977001815859044,0.020465422181794563,0.015866695685701357,0.4
10,0.40696804668825104,0.028110116418710265,0.007315779499158975,0.005455467703074661,0.019020045432541523,0.014217119452402836,0.4
11,0.40682461366961875,0.026583746577895095,0.00653729734320136,0.004915229907239401,0.01775704872536046,0.013282556543132526,0.4
12,0.40669823953842227,0.025239331260425713,0.006050629248190358,0.004491773873501785,0.0165663523729197,0.01231300608128599,0.4
13,0.40700322930158844,0.024362131026818522,0.005642092798027065,0.004349448213831662,0.015794979162925944,0.011585046487510384,0.4
14,0.40730443252044485,0.02365165535453308,0.004990055571839654,0.003534595929026018,0.015160577256318144,0.010916956407837368,0.4
15,0.4070315006283433,0.023033502079806475,0.004587592436015229,0.0034111175495184307,0.014535619409797182,0.010443192099530346,0.4
16,0.40708097734782345,0.02222298806455691,0.0043920484602692315,0.0033056361580523154,0.013752193711250832,0.009973443838009969,0.4
17,0.40719761155280776,0.02171465896945542,0.003969332971768441,0.002968387641767173,0.013131954357981738,0.009425173057127492,0.4
18,0.4072225398592098,0.021289250604675965,0.003892582040057729,0.0029781631488806034,0.012586978167371327,0.009195236070964867,0.4
19,0.407410661499258,0.02093782875522708,0.0035253439093543637,0.0027402636554859205,0.01217558212956167,0.008922154651505972,0.4
20,0.4076406643079691,0.020787837668958625,0.0034532391512282546,0.0025327520759722546,0.01182142090831307,0.008627216148867314,0.4
21,0.40784933000810136,0.020423777447193415,0.0033662547778443744,0.0025758859408165535,0.011422264094883382,0.008287109112108516,0.4
22,0.40783674639276074,0.0201995895686046,0.0030635766177962154,0.002272441221311097,0.011186100837023361,0.008115457918086898,0.4
23,0.4078162083522453,0.019945673486633137,0.002951833513344024,0.0021455821396858797,0.010841326239551233,0.00785142513898317,0.4
24,0.40781524282149495,0.01948432200333057,0.0027873887326589565,0.002187785368098883,0.01027965825285447,0.007402295754785338,0.4
25,0.40765401810975355,0.019186368537405938,0.0028318116666652764,0.002128048354897319,0.009896502234493773,0.007205556928627896,0.4
26,0.4077915837038659,0.018913417812502876,0.0024577965752031073,0.0018759232624958818,0.009576453682759584,0.006790308881098978,0.4
27,0.4078027663221232,0.0185821373818291,0.0026965274798746133,0.0020145008700744003,0.009141483790049478,0.006591030513938453,0.4
28,0.40780630490824005,0.01819888195309111,0.002402598584252749,0.0018093240033808839,0.008737739072600254,0.006266531203432736,0.4
29,0.40781003518396447,0.01779123182264179,0.0023987246004953697,0.0017359182957779656,0.00823352385764735,0.006062513034107093,0.4
30,0.40799865940743124,0.01765754877253955,0.0023254614981359674,0.0017926361274796475,0.00789334529333194,0.005860353091464909,0.4
31,0.4080203936987759,0.017393600977988158,0.0022211569185617615,0.0017181992968978708,0.007515886108565562,0.005579933374705419,0.4
32,0.40811497545922415,0.017198513067566697,0.0021363975683301407,0.0016752601586477282,0.007304134718071117,0.005381583650445595,0.4
33,0.40806266794905743,0.016950548587957914,0.0021141563752711816,0.0016157330248933537,0.006957420458551907,0.005204100001348346,0.4
34,0.4082234240208555,0.016864213202825065,0.0019520381509409925,0.001438163982736369,0.006676087733023761,0.004989728148293963,0.4
35,0.40833509648027494,0.016618048605690678,0.0019532586933499454,0.0014897033284957957,0.006281614901189327,0.00463583708095628,0.4
36,0.40847134066619945,0.016423646806291037,0.001822697314596451,0.001420064901967054,0.0059660160787752495,0.004312934873633525,0.4
37,0.40861050825841,0.016208728901475754,0.0017967891066723815,0.0013577027095374428,0.00571072740584768,0.004032290565423671,0.4
38,0.4087120544949513,0.01598993298069877,0.0017075635903632954,0.0013346650705677832,0.005427002383059908,0.003925392424775339,0.4
39,0.40873221168993773,0.01597818209339928,0.001722633545925567,0.001316311930264172,0.005187698980151359,0.003822398446402319,0.4
40,0.4087520991081188,0.01586570931629336,0.001690656202215768,0.001328935142186589,0.004868062244074429,0.0035806239043381072,0.4
41,0.40876974742496286,0.015666392404919207,0.0016030438224185482,0.0011867866398464614,0.004534013298373694,0.003319533804407673,0.4
42,0.40877033656883754,0.015529025501678905,0.001615601838901251,0.0012094591961013324,0.004149595717447129,0.003122607396605616,0.4
43,0.4088235999722689,0.015432540818135526,0.0015350845141085467,0.001175564473568522,0.003894724402347768,0.00292270627167636,0.4
