n_raters,mean_ci_width,sd_ci_width,median_ci_width,true_kappa
5,0.24020719649800443,0.029499788545250344,0.24032271548737494,0.4
10,0.1649835584972086,0.022478128269482367,0.1642543981080853,0.4
15,0.13566097075030809,0.019075329333266174,0.13504689812871448,0.4
20,0.11908781137005454,0.016979932934106445,0.11878651313620592,0.4
25,0.1072052113673983,0.01515502666785229,0.10605551778438951,0.4
30,0.10028834052831104,0.01506054165763595,0.09905010630772196,0.4
35,0.09360194313135214,0.013962187513155859,0.0926425976872923,0.4
40,0.08922620454353074,0.013459865052018866,0.08846183727684442,0.4
45,0.08509931262705904,0.013152861943740365,0.08417037523484114,0.4
50,0.08200914518839639,0.013083103603099494,0.08098820218366809,0.4
5,0.24650422599311864,0.026567589400929396,0.2469937505546423,0.5
10,0.17353714346056115,0.02234046965089834,0.17329296107894945,0.5
15,0.14283460111023236,0.01950550895202838,0.14226615915324298,0.5
20,0.12550060587934414,0.017463250557325324,0.12473333011061571,0.5
25,0.11355656577624813,0.015954777239635815,0.11310841525864707,0.5
30,0.10514566969111146,0.015503926836526452,0.10481771967789533,0.5
35,0.09901159853092192,0.014630808684157831,0.09798853506926414,0.5
40,0.09279029098652472,0.013971262906276323,0.09094239883906721,0.5
45,0.08886606845118661,0.014016752358663837,0.08786843366926239,0.5
50,0.08660012823481594,0.01431248965410587,0.08532856869301755,0.5
5,0.24634808244427236,0.026410076456803017,0.24683012440900223,0.6
10,0.17305971946333312,0.022543688197117412,0.17280892641942303,0.6
15,0.14396288000131893,0.01926899465478798,0.14293158619158403,0.6
20,0.126206867986179,0.017667577789239372,0.12480718234148358,0.6
25,0.11399265524640506,0.01663826289394434,0.11263048241599122,0.6
30,0.10579759708233655,0.015326450090560115,0.10522316642548929,0.6
35,0.09926822075845876,0.015555910683805784,0.0981970606397305,0.6
40,0.09447630851819988,0.01523105216061032,0.09388251456047059,0.6
45,0.08967807037296589,0.01395594245040775,0.08866608197009174,0.6
50,0.086519631577122,0.01389697620768371,0.08468661056177113,0.6
5,0.23616584337630286,0.0254139071902525,0.2357438810528462,0.7
10,0.1672682628920202,0.020529194083087638,0.1670680314608729,0.7
15,0.13729597043864988,0.01840730615764769,0.13687343653371964,0.7
20,0.1197854454228523,0.016803738831600926,0.119816443986898,0.7
25,0.10874721351803046,0.01557098074611686,0.10827517213744797,0.7
30,0.10119628772567099,0.01597809235530189,0.10019494111164817,0.7
35,0.09473333848332888,0.014441306087344933,0.09410569425991666,0.7
40,0.08932045267633427,0.014007621724024342,0.08772581117300621,0.7
45,0.08506369276753291,0.013510680482840308,0.08324913974399556,0.7
50,0.08170674343271994,0.013790419030728753,0.07979434395030027,0.7
