n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
3,0.4039183778952505,0.08500483087444055,,,0.06644138946938548,0.04958643732116795,0.4
4,0.40297938254191434,0.07107052714528649,0.03844618768266289,0.029053712320091102,0.05488637629282738,0.04135561208573646,0.4
5,0.4026709325883569,0.06094612531802916,0.028289371087167788,0.021535103991468865,0.046575019889261174,0.03589200734909542,0.4
6,0.4030254729072486,0.0549139628736138,0.021189234348535792,0.016192447128190676,0.041459422160958694,0.031124309639300147,0.4
7,0.4034319433568132,0.050701988047393336,0.017750677087922762,0.013369320763591376,0.037714509462508865,0.028685268351520708,0.4
8,0.4043701724065882,0.047418607012954264,0.014966475615139177,0.011236556395263005,0.035004035333700015,0.026262667159600347,0.4
9,0.40514726145275054,0.04464531618007717,0.012847169849195532,0.009615550659393977,0.0327556141553975,0.02480543855280397,0.4
10,0.40479012914738066,0.04243374478045866,0.011688393177609675,0.00894078833335223,0.030204378247445648,0.023287404324499095,0.4
11,0.40485949299297797,0.04081182461954037,0.010434641231152921,0.007896933187811666,0.028174982240236516,0.02231280446008679,0.4
12,0.4053233664619761,0.03969269430816855,0.009906384367920454,0.007207360904295131,0.027401435584765314,0.0204831380769339,0.4
13,0.4053655624075971,0.03859195463605943,0.008867622249847228,0.006463624003804992,0.026162826472107284,0.01985421673259256,0.4
14,0.40565128538293277,0.03650475319538784,0.008391972839138888,0.0064974670656404365,0.024287499814431075,0.01872340130079189,0.4
15,0.4057828933124821,0.03529166469374075,0.00753382894887666,0.005813876216520686,0.02363606002592608,0.017591330717845428,0.4
16,0.40540821479308087,0.03419421995589448,0.00724400358593201,0.005452404980865017,0.022624401170494815,0.016361499250351963,0.4
17,0.40550540253273387,0.03273009423562389,0.006842749836304853,0.0050764511054836115,0.020973259612919275,0.015525085402251691,0.4
18,0.4052314527053239,0.03172599866288229,0.006030754476098161,0.004555911756936264,0.019903534987154897,0.014726348490856802,0.4
19,0.40522636719277066,0.030935986012597165,0.005841553821057872,0.004391682303811505,0.01915643537395452,0.01438008510631051,0.4
20,0.4055222348131887,0.030501542872452003,0.005520607301814205,0.004176465844110696,0.01879921304022324,0.013944919619683352,0.4
21,0.40556775184946964,0.02950400388802051,0.005215101258341936,0.003925518224458973,0.017811497053911947,0.013535695572954278,0.4
22,0.40552465942652005,0.0287671795809199,0.00517924589479084,0.0037516515930257903,0.017056465441380623,0.012975637074438235,0.4
23,0.40564206471870395,0.028262642139779103,0.004839132275176417,0.003680292093177894,0.016441600649149013,0.012679688055601945,0.4
24,0.40560437584594056,0.027819973856031032,0.004563118620575827,0.003446809960754941,0.015806526769063734,0.01273392017353009,0.4
25,0.40550936877697286,0.027236785588910958,0.004425645063393965,0.003312367906451229,0.01525393565853997,0.012107490147126792,0.4
26,0.40534309061297513,0.026541648679999853,0.004271849025014919,0.0032492223519189002,0.014548955820747155,0.011474868736046225,0.4
27,0.40548996883366273,0.02636849122551099,0.004133889395319333,0.0030847717547034634,0.013875073719530385,0.01128866447955125,0.4
28,0.405469448656646,0.025667831431474046,0.004186482395364264,0.0031140406435188296,0.013573758086487078,0.010502643785546741,0.4
29,0.40552700936243735,0.02542608686396759,0.003711916254879655,0.0027553955127847213,0.013091607460400539,0.010249621547406123,0.4
30,0.4053776578953547,0.025232273445231754,0.0036665295218701213,0.0027735055549946166,0.012943258003389526,0.009972005031162511,0.4
