n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
3,0.4136507437470713,0.09408491676414844,,,0.0704601835788243,0.0550486446083032,0.4
4,0.41458456691752654,0.07807079897543134,0.040496853085337056,0.030278183325103937,0.05762661933791599,0.043578223886730307,0.4
5,0.4150006329621905,0.06954286216557695,0.029022182737198778,0.021470533489898608,0.049818901041694126,0.03808829940029759,0.4
6,0.4153312367207654,0.06274852502824256,0.02285674619932931,0.01664368046127911,0.04378236485760388,0.03331527318901304,0.4
7,0.41576995604530625,0.05748799758033655,0.018918371553698975,0.01425561983798319,0.03907920844264044,0.0295441403941557,0.4
8,0.4156832796059481,0.054498448028998336,0.01565728768316275,0.011608664450640328,0.03695091569151081,0.027118971712327054,0.4
9,0.41591080386992707,0.05140725029306449,0.014383683328193985,0.010701640873530462,0.034239241293495766,0.025054915768950404,0.4
10,0.4167116758341737,0.048539596483959814,0.012830988212792592,0.009205110986908939,0.031555636563204814,0.023222481782186055,0.4
11,0.41704197139903726,0.04621049353335593,0.011080960386701016,0.008093783259911357,0.029673023836428378,0.02162878021977957,0.4
12,0.41652662741322144,0.0443915954744722,0.010335214507210925,0.007789840506188357,0.027854250623313506,0.020768971029907237,0.4
13,0.41594817996395594,0.04270843890124388,0.009132984482591039,0.007138043650870152,0.026375582971531003,0.019528233162686627,0.4
14,0.4166309627145433,0.04163462272671518,0.008357289019511945,0.006210264724254783,0.025120494827017874,0.018475643497194178,0.4
15,0.41701296967529666,0.040536148632722875,0.007827631551553423,0.005918163000941472,0.023859643407508256,0.01752909176994575,0.4
16,0.41699355439801766,0.03968235214303901,0.0073476370235206565,0.005508595782125361,0.022550229410025307,0.017123171593642825,0.4
17,0.4169203313945211,0.03921986583664472,0.0066907258824247424,0.0050338841180595124,0.021918720886315593,0.016632473949220624,0.4
18,0.41636772066292466,0.038292041907796025,0.0064204280298625115,0.004823632217601053,0.021168472120146876,0.016248746821926358,0.4
19,0.41642777063328296,0.03773079742229078,0.006215907421577373,0.004639416803823836,0.020423878470371772,0.015609129046919093,0.4
20,0.41653392884417034,0.03686735928976077,0.006009923120703845,0.004536540910637846,0.01922125988547268,0.014768978921021969,0.4
21,0.4164609999902792,0.036612578088579706,0.005512441456398456,0.0043167599647519605,0.01861300374625573,0.014168113904421619,0.4
22,0.4165504172913354,0.036162934353021606,0.005193679186069607,0.003859726836197897,0.01806953871625737,0.013617097938421738,0.4
23,0.416547073046268,0.03574025646747199,0.0048259046208300104,0.003646547253511006,0.017350428991885936,0.013168305838084093,0.4
24,0.4164296730413323,0.03495367062242551,0.00475188540929766,0.003594673343653824,0.016498972327366218,0.012450824919024927,0.4
25,0.41647153005132775,0.03470960136917854,0.0045504014824579025,0.003398257547969627,0.016119350836999318,0.012051972991996018,0.4
26,0.4169410218875316,0.03430952203111456,0.00421040245563503,0.003210281018010657,0.01545291049123177,0.011524944595874274,0.4
27,0.4169904760774551,0.03372564352039722,0.0042861051747204474,0.003207475025099181,0.014766391901185102,0.010809732139190526,0.4
28,0.4168713159511816,0.033293250162769905,0.004131870112893435,0.003087614500982685,0.01386736162138223,0.010436122218876853,0.4
29,0.41661171221970716,0.033035409709694624,0.0038979829891278273,0.002901137590198591,0.013195184052592039,0.010073055143650578,0.4
30,0.41678421383735387,0.03251676725531184,0.0038373501845081594,0.002891872727382746,0.012667524675774665,0.009447305495827662,0.4
31,0.4168943585754747,0.03204562801967438,0.0035312819086879294,0.0027304284285803292,0.0120157093072478,0.008843719546864354,0.4
32,0.4169061026160289,0.031565575582105744,0.00336176332880062,0.002576669699982688,0.011279955654568337,0.008414668976964869,0.4
33,0.41695447308852907,0.03118026366682785,0.003379177804945177,0.0025204726566720797,0.010797951954283569,0.007942935092231353,0.4
34,0.4168158533968501,0.030886332773348426,0.003258257684354052,0.002434374202412062,0.010258822444686153,0.007643585899334369,0.4
35,0.4166718959910002,0.030674723149239465,0.003202839985641519,0.002423510845688657,0.009954423353834209,0.0073697767097699075,0.4
36,0.41661289358235143,0.030382541137210485,0.0031982704544828715,0.002369655980468086,0.009523163740026968,0.00685700506634474,0.4
37,0.4166187553976194,0.03010462561108677,0.003003748690056728,0.002269272187134074,0.008973859415951198,0.006750915455833502,0.4
38,0.4165360162464763,0.029950341995679322,0.0030338596939515944,0.0022482143762487636,0.008603653878955253,0.00635073621019004,0.4
39,0.41676657574649556,0.029776974176659466,0.0029300059669869517,0.0021639212297838895,0.007975742033514983,0.006116737547628708,0.4
